epoch 0loss [1.2153163, 0.0]
epoch 1loss [0.9325849, 0.125]
epoch 2loss [1.1693459, 0.2]
epoch 3loss [1.008084, 0.3]
epoch 4loss [1.641543, 0.1]
epoch 5loss [1.130744, 0.3]
epoch 6loss [0.51550704, 0.14285715]
epoch 7loss [0.9301251, 0.5]
epoch 8loss [1.9016387, 0.13333334]
epoch 9loss [0.67139935, 0.0]
epoch 10loss [1.8282343, 0.26666668]
epoch 11loss [0.46971098, 0.5714286]
epoch 12loss [0.77901375, 0.5]
epoch 13loss [0.64974356, 0.375]
epoch 14loss [0.8181326, 0.0]
epoch 15loss [1.174685, 0.25]
epoch 16loss [0.5945691, 0.625]
epoch 17loss [1.1439066, 0.54545456]
epoch 18loss [0.41739604, 0.2857143]
epoch 19loss [1.0204045, 0.6]
epoch 20loss [0.927651, 0.6]
epoch 21loss [0.552994, 0.625]
epoch 22loss [0.71512204, 0.5]
epoch 23loss [0.8052716, 0.2857143]
epoch 24loss [1.6925592, 0.2]
epoch 25loss [1.1668974, 0.5]
epoch 26loss [1.0987074, 0.125]
epoch 27loss [0.9072791, 0.33333334]
epoch 28loss [1.5791559, 0.2]
epoch 29loss [0.6915142, 0.5]
epoch 30loss [0.62952733, 0.6]
epoch 31loss [0.88482594, 0.2857143]
epoch 32loss [0.51830304, 0.5]
epoch 33loss [0.6351369, 0.5]
epoch 34loss [1.523446, 0.45454547]
epoch 35loss [0.34651494, 0.5714286]
epoch 36loss [1.2951063, 0.54545456]
epoch 37loss [0.66351, 0.5]
epoch 38loss [0.8992731, 0.16666667]
epoch 39loss [0.62167954, 0.42857143]
epoch 40loss [1.322171, 0.18181819]
epoch 41loss [0.5019211, 0.0]
epoch 42loss [1.1327661, 0.18181819]
epoch 43loss [0.83018094, 0.2]
epoch 44loss [0.6313971, 0.5]
epoch 45loss [0.4655375, 0.625]
epoch 46loss [0.4995338, 0.0]
epoch 47loss [0.35363427, 0.71428573]
epoch 48loss [1.2324225, 0.33333334]
epoch 49loss [1.0295511, 0.36363637]
epoch 50loss [0.9715333, 0.5]
epoch 51loss [1.4786799, 0.33333334]
epoch 52loss [0.62879395, 0.6]
epoch 53loss [0.36542726, 0.5714286]
epoch 54loss [0.8152624, 0.5]
epoch 55loss [0.50222737, 0.625]
epoch 56loss [1.1557038, 0.16666667]
epoch 57loss [1.0648129, 0.25]
epoch 58loss [0.6545109, 0.42857143]
epoch 59loss [1.0942022, 0.33333334]
epoch 60loss [1.2827427, 0.3]
epoch 61loss [1.5572897, 0.13333334]
epoch 62loss [0.70682484, 0.6]
epoch 63loss [0.9064111, 0.16666667]
epoch 64loss [1.3558309, 0.3]
epoch 65loss [1.3393545, 0.26666668]
epoch 66loss [0.39450768, 0.71428573]
epoch 67loss [0.9134078, 0.5]
epoch 68loss [0.6484505, 0.6]
epoch 69loss [0.33578867, 0.5714286]
epoch 70loss [0.28498378, 0.71428573]
epoch 71loss [1.3297601, 0.3]
epoch 72loss [0.33691815, 0.5714286]
epoch 73loss [0.66835403, 0.42857143]
epoch 74loss [1.3956277, 0.26666668]
epoch 75loss [1.0026315, 0.27272728]
epoch 76loss [0.35862526, 0.71428573]
epoch 77loss [0.63151014, 0.5]
epoch 78loss [1.1862447, 0.3]
epoch 79loss [0.42265156, 0.75]
